	LogL_21M003M	LogT_21M003M	L(sun)_21M003M	T_21M003M
1.68276595	3.6844013	48.16881363	4835.053679
1.68144976	3.68450376	48.02305231	4836.194513
1.68000017	3.68461679	47.86302797	4837.453351
1.6786457	3.68472535	47.71398613	4838.662714
1.67762419	3.68481369	47.6018893	4839.647048
1.6769682	3.68488036	47.53004221	4840.390055
1.67647735	3.6849401	47.47635297	4841.055928
1.67591959	3.68500934	47.41541871	4841.827804
1.67537099	3.68507643	47.35556145	4842.575829
1.67483494	3.68514238	47.2971465	4843.311257
1.67435573	3.68520497	47.24498658	4844.009319
1.67397397	3.68526316	47.20347484	4844.658399
1.67364861	3.68531814	47.1681247	4845.271753
1.67335683	3.68537109	47.13644552	4845.862534
1.67309204	3.68542235	47.10771512	4846.434527
1.67285915	3.68547168	47.08246042	4846.985048
1.67266071	3.68551894	47.06095218	4847.512526
1.67250184	3.68556376	47.04373989	4848.012824
1.67238081	3.68560636	47.03063147	4848.48839
1.67231293	3.68564561	47.02328119	4848.926599
1.6722992	3.68568145	47.02179459	4849.326771
1.67231715	3.6857153	47.02373811	4849.704755
1.67233955	3.68574895	47.02616356	4850.080534
1.6723537	3.68578325	47.02769577	4850.463602
1.67237069	3.68581748	47.02953557	4850.845919
1.67240334	3.68585088	47.03307136	4851.218994
1.67247202	3.68588311	47.04050983	4851.579027
1.67258026	3.68591331	47.05223528	4851.916409
1.67274521	3.68593965	47.07010965	4852.210687
1.67295352	3.68596319	47.09269231	4852.473697
1.67317816	3.68598561	47.11705744	4852.724208
1.67339782	3.68600841	47.14089461	4852.978977
1.67359731	3.68603272	47.16255341	4853.250635
1.67378253	3.68605815	47.18267181	4853.534824
1.67397362	3.68608333	47.2034368	4853.816235
1.67418696	3.68610719	47.2266304	4854.08291
1.67446215	3.68612691	47.25656497	4854.303324
1.67479337	3.68614296	47.29261951	4854.482725
1.67515059	3.68615721	47.33153509	4854.642013
1.67551378	3.68617101	47.37113386	4854.796275
1.67587055	3.68618532	47.41006492	4854.956243
1.67620607	3.68620124	47.44670635	4855.134215
1.6765259	3.68621897	47.48166067	4855.332429
1.67685551	3.68623728	47.5177108	4855.537136
1.67722511	3.68625274	47.55816727	4855.709986
1.67765703	3.68626397	47.60548894	4855.835547
1.67812977	3.68627248	47.65733687	4855.930698
1.67861934	3.68627978	47.71109017	4856.012321
1.67911315	3.68628681	47.76537042	4856.090927
1.67960234	3.68629424	47.81920372	4856.174007
1.68007289	3.68630312	47.87104302	4856.273302
1.68051046	3.68631446	47.91929942	4856.400107
1.68094288	3.68632613	47.96703565	4856.530606
1.68143104	3.6863339	48.02098235	4856.617495
1.68197604	3.68633796	48.08128213	4856.662897
1.6825511	3.68633994	48.14498991	4856.68504
1.6831371	3.68634114	48.20999651	4856.698459
1.68372683	3.68634209	48.2755055	4856.709083
1.68431461	3.68634326	48.34088645	4856.722167
1.68490544	3.68634528	48.4066959	4856.744757
1.68547567	3.68634967	48.47029579	4856.793851
1.6860444	3.68635404	48.53381161	4856.842722
1.68665833	3.68635526	48.60246878	4856.856365
1.68731655	3.6863535	48.6761869	4856.836683
1.68799792	3.68635012	48.75261552	4856.798883
1.68868876	3.68634604	48.83022889	4856.753256
1.68938306	3.68634174	48.90835547	4856.705169
1.69007786	3.68633745	48.98666344	4856.657194
1.69076865	3.68633351	49.06464377	4856.613134
1.69144151	3.68633098	49.14071939	4856.584842
1.69210683	3.68632897	49.2160585	4856.562364
1.69280323	3.6863247	49.29504075	4856.514615
1.69353508	3.68631806	49.37818017	4856.440363
1.69428794	3.68630995	49.46385268	4856.349675
1.69504992	3.68630117	49.55071436	4856.251497
1.69581593	3.68629212	49.63818919	4856.150301
1.6965922	3.68628313	49.72699321	4856.049779
1.69737743	3.68627448	49.81698387	4855.95306
1.69815659	3.68626629	49.90643986	4855.861487
1.69892031	3.68625932	49.99427906	4855.783555
1.69970402	3.68625069	50.08457813	4855.687066
1.70051708	3.68624014	50.17843129	4855.569111
1.70134791	3.68622834	50.27451736	4855.437185
1.70218688	3.68621593	50.37173153	4855.298442
1.70303044	3.68620319	50.46966709	4855.156015
1.70387624	3.68619029	50.56805387	4855.011802
1.70472282	3.68617736	50.66672346	4854.867259
1.70556927	3.68616444	50.76557037	4854.722832
1.70641276	3.68615177	50.86426345	4854.581203
1.70725481	3.6861392	50.96297942	4854.440697
1.70811576	3.68612515	51.06410918	4854.283652
1.70899576	3.68610986	51.167684	4854.112752
1.70988517	3.68609389	51.27257984	4853.934259
1.71077817	3.68607765	51.37811542	4853.752754
1.71168619	3.68606158	51.48564881	4853.573156
1.71259984	3.68604565	51.59407611	4853.39513
1.7135135	3.6860297	51.70273295	4853.216886
1.71442742	3.68601373	51.81164963	4853.038426
1.71534255	3.68599765	51.92094042	4852.858742
1.71625965	3.68598145	52.03069775	4852.677725
1.71719462	3.68596381	52.1428326	4852.480625
1.71814397	3.68594524	52.25693937	4852.273142
1.71909982	3.68592618	52.37207969	4852.060194
1.72005801	3.68590692	52.4877565	4851.84502
1.72101686	3.68588757	52.60376876	4851.628851
1.72197623	3.68586816	52.72010056	4851.412021
1.72293599	3.68584869	52.83673708	4851.194531
1.72389563	3.68582921	52.953617	4850.976939
1.7248552	3.6858097	53.07074693	4850.759021
1.72581511	3.68579013	53.18817757	4850.540443
1.72678336	3.68576984	53.30689173	4850.313834
1.72776777	3.68574831	53.42785886	4850.073387
1.72876186	3.68572614	53.55029406	4849.825805
1.72977711	3.68570434	53.67562499	4849.582368
1.73079185	3.68568254	53.80118607	4849.338942
1.73180648	3.68566072	53.92702721	4849.095306
1.73282036	3.68563891	54.05306935	4848.851794
1.73383369	3.68561709	54.17933747	4848.608182
1.73484646	3.68559527	54.30583053	4848.364582
1.73585845	3.68557346	54.43252115	4848.121106
1.7368692	3.6855517	54.55935155	4847.878201
1.7378817	3.68552971	54.68669783	4847.632741
1.73891111	3.68550626	54.81647568	4847.370997
1.73995245	3.68548203	54.94807091	4847.100561
1.74099728	3.68545747	55.08042467	4846.826458
1.74204209	3.68543285	55.21309469	4846.551701
1.74308594	3.68540823	55.34596193	4846.27696
1.74412866	3.68538362	55.47900455	4846.002345
1.74516971	3.68535908	55.61215314	4845.728528
1.74620911	3.68533458	55.74540949	4845.455172
1.74724637	3.68531019	55.8787098	4845.183058
